state,declarationDate,fyDeclared,declarationType,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,disasterLength
WY,2006-07-14 00:00:00+00:00,2006,FM,Fire,THORN DIVIDE FIRE COMPLEX,0,0,1,0,2006-07-13 00:00:00+00:00,2006-07-24 00:00:00+00:00,2008-09-24 00:00:00+00:00,11 days
CA,2006-07-12 00:00:00+00:00,2006,FM,Fire,SAWTOOTH FIRE COMPLEX ,0,0,1,0,2006-07-11 00:00:00+00:00,2006-07-25 00:00:00+00:00,2009-10-13 00:00:00+00:00,14 days
MT,2006-07-11 00:00:00+00:00,2006,FM,Fire,SAUNDERS FIRE,0,0,1,0,2006-07-10 00:00:00+00:00,2006-07-13 00:00:00+00:00,2011-01-05 00:00:00+00:00,3 days
TX,2006-06-27 00:00:00+00:00,2006,FM,Fire,NORTH TRINITY FIRE,0,0,1,0,2006-06-27 00:00:00+00:00,2006-06-27 00:00:00+00:00,2010-09-13 00:00:00+00:00,0 days
NV,2006-06-27 00:00:00+00:00,2006,FM,Fire,LINEHAN FIRE COMPLEX,0,0,1,0,2006-06-26 00:00:00+00:00,2006-06-30 00:00:00+00:00,2008-03-25 00:00:00+00:00,4 days
NV,2006-06-27 00:00:00+00:00,2006,FM,Fire,OREGON FIRE,0,0,1,0,2006-06-26 00:00:00+00:00,2006-06-29 00:00:00+00:00,2007-12-06 00:00:00+00:00,3 days
NV,2006-06-26 00:00:00+00:00,2006,FM,Fire,SUZIE FIRE,0,0,1,0,2006-06-26 00:00:00+00:00,2006-07-04 00:00:00+00:00,2007-12-06 00:00:00+00:00,8 days
NM,2006-06-21 00:00:00+00:00,2006,FM,Fire,RIVERA MESA FIRE,0,0,1,0,2006-06-18 00:00:00+00:00,2006-06-18 00:00:00+00:00,2010-07-08 00:00:00+00:00,0 days
CO,2006-06-19 00:00:00+00:00,2006,FM,Fire,MALO VEGA FIRE,0,0,1,0,2006-06-18 00:00:00+00:00,2006-07-01 00:00:00+00:00,2009-09-30 00:00:00+00:00,13 days
AZ,2006-06-18 00:00:00+00:00,2006,FM,Fire,BRINS FIRE,0,0,1,0,2006-06-18 00:00:00+00:00,2006-06-28 00:00:00+00:00,2008-11-12 00:00:00+00:00,10 days
NM,2006-06-16 00:00:00+00:00,2006,FM,Fire,MALPAIS FIRE,0,0,1,0,2006-06-15 00:00:00+00:00,2006-06-15 00:00:00+00:00,2010-07-08 00:00:00+00:00,0 days
AZ,2006-06-14 00:00:00+00:00,2006,FM,Fire,WOODY FIRE,0,0,1,0,2006-06-14 00:00:00+00:00,2006-06-17 00:00:00+00:00,2008-12-30 00:00:00+00:00,3 days
AZ,2006-06-13 00:00:00+00:00,2006,FM,Fire,POTATO FIRE,0,0,1,0,2006-06-12 00:00:00+00:00,2006-06-18 00:00:00+00:00,2008-12-30 00:00:00+00:00,6 days
AK,2006-06-08 00:00:00+00:00,2006,FM,Fire,PARKS HIGHWAY (TAMARACK) FIRE,0,0,1,0,2006-06-07 00:00:00+00:00,2006-06-25 00:00:00+00:00,2008-12-31 00:00:00+00:00,18 days
AZ,2006-06-02 00:00:00+00:00,2006,FM,Fire,LA BARRANCA FIRE,0,0,1,0,2006-06-01 00:00:00+00:00,2006-06-07 00:00:00+00:00,2009-03-31 00:00:00+00:00,6 days
TX,2006-05-26 00:00:00+00:00,2006,FM,Fire,LAKE OLYMPIA FIRE,0,0,1,0,2006-05-26 00:00:00+00:00,2006-05-26 00:00:00+00:00,2010-07-12 00:00:00+00:00,0 days
FL,2006-05-15 00:00:00+00:00,2006,FM,Fire,VOLUSIA FIRE COMPLEX,0,0,1,0,2006-05-15 00:00:00+00:00,2006-06-26 00:00:00+00:00,2010-09-16 00:00:00+00:00,42 days
VA,2006-04-15 00:00:00+00:00,2006,FM,Fire,BULL MOUNTAIN FIRE,0,0,1,0,2006-04-15 00:00:00+00:00,2006-04-15 00:00:00+00:00,2007-04-18 00:00:00+00:00,0 days
NM,2006-04-12 00:00:00+00:00,2006,FM,Fire,OJO FELIZ FIRE,0,0,1,0,2006-04-12 00:00:00+00:00,2006-04-12 00:00:00+00:00,2010-07-08 00:00:00+00:00,0 days
OK,2006-04-06 00:00:00+00:00,2006,FM,Fire,NEW CASTLE FIRE,0,0,1,0,2006-04-06 00:00:00+00:00,2006-04-06 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2006-04-06 00:00:00+00:00,2006,FM,Fire,CEMENT FIRE,0,0,1,0,2006-04-06 00:00:00+00:00,2006-04-06 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2006-04-06 00:00:00+00:00,2006,FM,Fire,PONCA CITY FIRE ,0,0,1,0,2006-04-06 00:00:00+00:00,2006-04-15 00:00:00+00:00,2010-04-09 00:00:00+00:00,9 days
KS,2006-03-30 00:00:00+00:00,2006,FM,Fire,OBEE FIRE,0,0,1,0,2006-03-30 00:00:00+00:00,2006-03-30 00:00:00+00:00,2010-07-15 00:00:00+00:00,0 days
NM,2006-03-01 00:00:00+00:00,2006,FM,Fire,CASA FIRE,0,0,1,0,2006-03-01 00:00:00+00:00,2006-03-07 00:00:00+00:00,2010-07-08 00:00:00+00:00,6 days
CA,2006-02-06 00:00:00+00:00,2006,FM,Fire,SIERRA FIRE,0,0,1,0,2006-02-06 00:00:00+00:00,2006-02-16 00:00:00+00:00,2010-07-08 00:00:00+00:00,10 days
TX,2006-02-05 00:00:00+00:00,2006,FM,Fire,VENUS FIRE COMPLEX,0,0,1,0,2006-02-05 00:00:00+00:00,2006-02-05 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,SPERRY FIRE,0,0,1,0,2006-01-15 00:00:00+00:00,2006-01-15 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,PAOLI FIRE,0,0,1,0,2006-01-18 00:00:00+00:00,2006-01-18 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,RYAN FIRE,0,0,1,0,2006-01-18 00:00:00+00:00,2006-01-18 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,KIEFER FIRE,0,0,1,0,2006-01-18 00:00:00+00:00,2006-01-18 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,STECKER FIRE,0,0,1,0,2006-01-15 00:00:00+00:00,2006-01-15 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-19 00:00:00+00:00,2006,FM,Fire,NORTH STILLWATER FIRE,0,0,1,0,2006-01-15 00:00:00+00:00,2006-01-15 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
TX,2006-01-19 00:00:00+00:00,2006,FM,Fire,ORCHARD FIRE,0,0,1,0,2006-01-19 00:00:00+00:00,2006-01-19 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
TX,2006-01-19 00:00:00+00:00,2006,FM,Fire,HUNTINGTON BROOK FIRE,0,0,1,0,2006-01-17 00:00:00+00:00,2006-01-17 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
TX,2006-01-15 00:00:00+00:00,2006,FM,Fire,CADDO FIRE,0,0,1,0,2006-01-14 00:00:00+00:00,2006-01-14 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
TX,2006-01-13 00:00:00+00:00,2006,FM,Fire,LOCKHART FIRE,0,0,1,0,2006-01-13 00:00:00+00:00,2006-01-13 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2006-01-13 00:00:00+00:00,2006,FM,Fire,RATCLIFF FIRE,0,0,1,0,2006-01-12 00:00:00+00:00,2006-01-12 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
TX,2006-01-11 00:00:00+00:00,2006,FM,Fire,NIEDERWALD FIRE ,0,0,1,0,2006-01-11 00:00:00+00:00,2006-01-11 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2006-01-09 00:00:00+00:00,2006,FM,Fire,HENRYETTA FIRE ,0,0,1,0,2006-01-09 00:00:00+00:00,2006-01-09 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-08 00:00:00+00:00,2006,FM,Fire,MCNALLY FLATS FIRE,0,0,1,0,2006-01-08 00:00:00+00:00,2006-01-08 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
TX,2006-01-08 00:00:00+00:00,2006,FM,Fire,HAWKINS FIRE ,0,0,1,0,2006-01-08 00:00:00+00:00,2006-01-08 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
CO,2006-01-08 00:00:00+00:00,2006,FM,Fire,MAURICIO CANYON FIRE,0,0,1,0,2006-01-07 00:00:00+00:00,2006-01-16 00:00:00+00:00,2011-05-04 00:00:00+00:00,9 days
TX,2006-01-07 00:00:00+00:00,2006,FM,Fire,CEDAR CREEK FIRE,0,0,1,0,2006-01-07 00:00:00+00:00,2006-01-07 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
TX,2006-01-05 00:00:00+00:00,2006,FM,Fire,MILL CREEK FIRE ,0,0,1,0,2006-01-05 00:00:00+00:00,2006-01-05 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
TX,2006-01-05 00:00:00+00:00,2006,FM,Fire,BULVERDE FIRE,0,0,1,0,2006-01-05 00:00:00+00:00,2006-01-05 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2006-01-03 00:00:00+00:00,2006,FM,Fire,EUFAULA FIRE,0,0,1,0,2006-01-03 00:00:00+00:00,2006-01-03 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,63RD STREET FIRE,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2006-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,PRAGUE FIRE ,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,SAPULPA FIRE COMPLEX,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,GUTHRIE FIRE,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,CASHION FIRE COMPLEX  ,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,BETHEL ACRES FIRE ,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
OK,2006-01-02 00:00:00+00:00,2006,FM,Fire,SHAMROCK FIRE COMPLEX,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
NM,2006-01-02 00:00:00+00:00,2006,FM,Fire,SOUTHEAST NEW MEXICO FIRE COMPLEX,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-04 00:00:00+00:00,2010-07-08 00:00:00+00:00,3 days
OK,2006-01-01 00:00:00+00:00,2006,FM,Fire,WAINWRIGHT FIRE COMPLEX,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
TX,2006-01-01 00:00:00+00:00,2006,FM,Fire,RINGGOLD FIRE ,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2006-01-01 00:00:00+00:00,2006,FM,Fire,DEPEW FIRE COMPLEX,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2009-02-24 00:00:00+00:00,0 days
TX,2006-01-01 00:00:00+00:00,2006,FM,Fire,CARBON FIRE,0,0,1,0,2006-01-01 00:00:00+00:00,2006-01-01 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2005-12-29 00:00:00+00:00,2006,FM,Fire,EASTERN OKLAHOMA COUNTY FIRE COMPLEX,0,0,1,0,2005-12-29 00:00:00+00:00,2005-12-29 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2005-12-28 00:00:00+00:00,2006,FM,Fire,ACHILLE FIRE COMPLEX,0,0,1,0,2005-12-27 00:00:00+00:00,2005-12-27 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
TX,2005-12-28 00:00:00+00:00,2006,FM,Fire,KENNEDALE FIRE,0,0,1,0,2005-12-27 00:00:00+00:00,2005-12-27 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2005-12-28 00:00:00+00:00,2006,FM,Fire,HUGHES COUNTY FIRE COMPLEX,0,0,1,0,2005-12-26 00:00:00+00:00,2005-12-29 00:00:00+00:00,2010-04-09 00:00:00+00:00,3 days
TX,2005-12-28 00:00:00+00:00,2006,FM,Fire,CALLAHAN COUNTY FIRE,0,0,1,0,2005-12-27 00:00:00+00:00,2005-12-27 00:00:00+00:00,2008-06-26 00:00:00+00:00,0 days
OK,2005-12-02 00:00:00+00:00,2006,FM,Fire,TEXANNA ROAD FIRE,0,0,1,0,2005-11-27 00:00:00+00:00,2005-11-27 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2005-11-30 00:00:00+00:00,2006,FM,Fire,ANTIOCH FIRE ,0,0,1,0,2005-11-27 00:00:00+00:00,2005-11-27 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2005-11-30 00:00:00+00:00,2006,FM,Fire,VELMA FIRE COMPLEX ,0,0,1,0,2005-11-29 00:00:00+00:00,2005-11-29 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
OK,2005-11-29 00:00:00+00:00,2006,FM,Fire,FLAT ROCK FIRE COMPLEX,0,0,1,0,2005-11-27 00:00:00+00:00,2005-11-27 00:00:00+00:00,2010-04-09 00:00:00+00:00,0 days
CA,2005-11-18 00:00:00+00:00,2006,FM,Fire,SCHOOL FIRE,0,0,1,0,2005-11-18 00:00:00+00:00,2005-11-23 00:00:00+00:00,2009-12-03 00:00:00+00:00,5 days
CA,2005-10-06 00:00:00+00:00,2006,FM,Fire,BORDER # 50 FIRE,0,0,1,0,2005-10-05 00:00:00+00:00,2005-10-10 00:00:00+00:00,2009-12-03 00:00:00+00:00,5 days
CA,2005-10-06 00:00:00+00:00,2006,FM,Fire,WOODHOUSE FIRE,0,0,1,0,2005-10-05 00:00:00+00:00,2005-10-08 00:00:00+00:00,2009-12-03 00:00:00+00:00,3 days
CA,2005-09-28 00:00:00+00:00,2005,FM,Fire,TOPANGA FIRE,0,0,1,0,2005-09-28 00:00:00+00:00,2005-10-10 00:00:00+00:00,2009-12-03 00:00:00+00:00,12 days
CA,2005-09-05 00:00:00+00:00,2005,FM,Fire,SUNDEVIL FIRE,0,0,1,0,2005-09-05 00:00:00+00:00,2005-09-07 00:00:00+00:00,2009-12-03 00:00:00+00:00,2 days
NV,2005-08-29 00:00:00+00:00,2005,FM,Fire,CHANCE FIRE,0,0,1,0,2005-08-28 00:00:00+00:00,2005-09-03 00:00:00+00:00,2007-02-28 00:00:00+00:00,6 days
CA,2005-08-26 00:00:00+00:00,2005,FM,Fire,MANTON FIRE,0,0,1,0,2005-08-26 00:00:00+00:00,2005-09-02 00:00:00+00:00,2009-09-29 00:00:00+00:00,7 days
OR,2005-08-25 00:00:00+00:00,2005,FM,Fire,DEER CREEK FIRE,0,0,1,0,2005-08-25 00:00:00+00:00,2005-09-01 00:00:00+00:00,2007-03-23 00:00:00+00:00,7 days
NV,2005-08-22 00:00:00+00:00,2005,FM,Fire,VOR-MCCARTY FIRE,0,0,1,0,2005-08-22 00:00:00+00:00,2005-08-25 00:00:00+00:00,2007-02-28 00:00:00+00:00,3 days
HI,2005-08-19 00:00:00+00:00,2005,FM,Fire,WAIKELE FIRE,0,0,1,0,2005-08-17 00:00:00+00:00,2005-08-20 00:00:00+00:00,2007-06-25 00:00:00+00:00,3 days
HI,2005-08-15 00:00:00+00:00,2005,FM,Fire,NANAKULI BRUSH FIRE,0,0,1,0,2005-08-14 00:00:00+00:00,2005-08-20 00:00:00+00:00,2010-09-29 00:00:00+00:00,6 days
WA,2005-08-07 00:00:00+00:00,2005,FM,Fire,SCHOOL FIRE,0,0,1,0,2005-08-07 00:00:00+00:00,2005-08-19 00:00:00+00:00,2007-07-25 00:00:00+00:00,12 days
HI,2005-08-04 00:00:00+00:00,2005,FM,Fire,AKONI PULE HIGHWAY FIRE,0,0,1,0,2005-08-02 00:00:00+00:00,2005-08-06 00:00:00+00:00,2008-02-20 00:00:00+00:00,4 days
HI,2005-08-02 00:00:00+00:00,2005,FM,Fire,LALAMILO FIRE,0,0,1,0,2005-08-01 00:00:00+00:00,2005-08-06 00:00:00+00:00,2008-02-20 00:00:00+00:00,5 days
WA,2005-08-01 00:00:00+00:00,2005,FM,Fire,DIRTY FACE FIRE,0,0,1,0,2005-07-31 00:00:00+00:00,2005-08-08 00:00:00+00:00,2007-07-25 00:00:00+00:00,8 days
CA,2005-07-25 00:00:00+00:00,2005,FM,Fire,CA-QUARTZ FIRE-7-25-2005,0,0,1,0,2005-07-25 00:00:00+00:00,2005-07-29 00:00:00+00:00,2009-10-13 00:00:00+00:00,4 days
AZ,2005-07-22 00:00:00+00:00,2005,FM,Fire,AZ-WILDFIRE (EDGE COMPLEX) 07-22-2005,0,0,1,0,2005-07-21 00:00:00+00:00,2005-07-24 00:00:00+00:00,2008-12-30 00:00:00+00:00,3 days
SD,2005-07-16 00:00:00+00:00,2005,FM,Fire,SD SKYLINE #2 FIRE 7/16/05,0,0,1,0,2005-07-16 00:00:00+00:00,2005-07-17 00:00:00+00:00,2006-10-20 00:00:00+00:00,1 days
NV,2005-07-16 00:00:00+00:00,2005,FM,Fire,CARLIN FIRE,0,0,1,0,2005-07-16 00:00:00+00:00,2005-07-18 00:00:00+00:00,2007-03-01 00:00:00+00:00,2 days
NV,2005-07-16 00:00:00+00:00,2005,FM,Fire,CONTACT FIRE,0,0,1,0,2005-07-15 00:00:00+00:00,2005-07-21 00:00:00+00:00,2007-03-01 00:00:00+00:00,6 days
CO,2005-07-10 00:00:00+00:00,2005,FM,Fire,MASON FIRE ,0,0,1,0,2005-07-08 00:00:00+00:00,2005-07-17 00:00:00+00:00,2010-07-07 00:00:00+00:00,9 days
SD,2005-07-10 00:00:00+00:00,2005,FM,Fire,SD RICCO FIRE,0,0,1,0,2005-07-09 00:00:00+00:00,2005-07-19 00:00:00+00:00,2006-10-20 00:00:00+00:00,10 days
UT,2005-06-27 00:00:00+00:00,2005,FM,Fire,BLUE SPRINGS FIRE,0,0,1,0,2005-06-27 00:00:00+00:00,2005-07-01 00:00:00+00:00,2008-05-27 00:00:00+00:00,4 days
NV,2005-06-24 00:00:00+00:00,2005,FM,Fire,GOOD SPRINGS FIRE,0,0,1,0,2005-06-22 00:00:00+00:00,2005-07-06 00:00:00+00:00,2006-04-10 00:00:00+00:00,14 days
AZ,2005-06-23 00:00:00+00:00,2005,FM,Fire,AZ-HUMBUG FIRE 06-23--2005,0,0,1,0,2005-06-22 00:00:00+00:00,2005-06-27 00:00:00+00:00,2009-01-15 00:00:00+00:00,5 days
AZ,2005-06-22 00:00:00+00:00,2005,FM,Fire,CAVE CREEK FIRE COMPLEX ,0,0,1,0,2005-06-21 00:00:00+00:00,2005-07-07 00:00:00+00:00,2008-09-25 00:00:00+00:00,16 days
AZ,2005-06-12 00:00:00+00:00,2005,FM,Fire,AZ-HULET FIRE-06-11-2005,0,0,1,0,2005-06-11 00:00:00+00:00,2005-06-18 00:00:00+00:00,2008-12-30 00:00:00+00:00,7 days
AZ,2005-06-08 00:00:00+00:00,2005,FM,Fire,AZ-BOBBY FIRE-06-08-2005,0,0,1,0,2005-06-08 00:00:00+00:00,2005-06-13 00:00:00+00:00,2008-12-30 00:00:00+00:00,5 days
AZ,2005-05-26 00:00:00+00:00,2005,FM,Fire,VEKOL FIRE-05-26-2005,0,0,1,0,2005-05-26 00:00:00+00:00,2005-05-29 00:00:00+00:00,2008-12-30 00:00:00+00:00,3 days
SD,2005-04-19 00:00:00+00:00,2005,FM,Fire,SD WILDFIRE CAMP FIVE,0,0,1,0,2005-04-17 00:00:00+00:00,2005-04-19 00:00:00+00:00,2005-08-17 00:00:00+00:00,2 days
HI,2004-09-14 00:00:00+00:00,2004,FM,Fire,KAWAIHAE ROAD FIRE HAWAII,0,0,1,0,2004-09-12 00:00:00+00:00,2004-09-16 00:00:00+00:00,2005-02-07 00:00:00+00:00,4 days
CA,2004-09-13 00:00:00+00:00,2004,FM,Fire,RIX-CA-OLD HIGHWAY WILDFIRE 9/13/04,0,0,1,0,2004-09-12 00:00:00+00:00,2004-09-17 00:00:00+00:00,2009-09-29 00:00:00+00:00,5 days
CA,2004-09-04 00:00:00+00:00,2004,FM,Fire,CA-GEYSERS FIRE-09-04-2004,0,0,1,0,2004-09-03 00:00:00+00:00,2004-09-15 00:00:00+00:00,2010-01-05 00:00:00+00:00,12 days
CA,2004-09-03 00:00:00+00:00,2004,FM,Fire,CA-PATTISON FIRE-09-03-2004,0,0,1,0,2004-09-03 00:00:00+00:00,2004-09-08 00:00:00+00:00,2009-09-29 00:00:00+00:00,5 days
CA,2004-09-02 00:00:00+00:00,2004,FM,Fire,CA-BEAR FIRE-09-02-2004,0,0,1,0,2004-09-02 00:00:00+00:00,2004-09-07 00:00:00+00:00,2009-08-27 00:00:00+00:00,5 days
AK,2004-09-01 00:00:00+00:00,2004,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,0,0,1,0,2004-08-09 00:00:00+00:00,2004-09-12 00:00:00+00:00,2008-01-03 00:00:00+00:00,34 days
NV,2004-08-25 00:00:00+00:00,2004,FM,Fire,ANDREW WILDFIRE,0,0,1,0,2004-08-25 00:00:00+00:00,2004-08-31 00:00:00+00:00,2006-01-04 00:00:00+00:00,6 days
OR,2004-08-21 00:00:00+00:00,2004,FM,Fire,OR-BLAND MOUNTAIN WILDFIRE-08-20-2004,0,0,1,0,2004-08-20 00:00:00+00:00,2004-09-05 00:00:00+00:00,2006-12-11 00:00:00+00:00,16 days
CA,2004-08-14 00:00:00+00:00,2004,FM,Fire,CA-LAKE FIRE 08-14-2004,0,0,1,0,2004-08-14 00:00:00+00:00,2004-08-16 00:00:00+00:00,2009-08-12 00:00:00+00:00,2 days
CA,2004-08-14 00:00:00+00:00,2004,FM,Fire,CA-FRENCH FIRE 08-14-2004,0,0,1,0,2004-08-14 00:00:00+00:00,2004-09-05 00:00:00+00:00,2009-09-30 00:00:00+00:00,22 days
WA,2004-08-12 00:00:00+00:00,2004,FM,Fire,MUD LAKE FIRE,0,0,1,0,2004-08-12 00:00:00+00:00,2004-08-16 00:00:00+00:00,2006-09-06 00:00:00+00:00,4 days
CA,2004-08-11 00:00:00+00:00,2004,FM,Fire,CA OREGON FIRE 08-11-2004,0,0,1,0,2004-08-11 00:00:00+00:00,2004-08-15 00:00:00+00:00,2009-09-30 00:00:00+00:00,4 days
CA,2004-08-11 00:00:00+00:00,2004,FM,Fire,CA-BEAR FIRE-08-11-2004,0,0,1,0,2004-08-11 00:00:00+00:00,2004-08-25 00:00:00+00:00,2009-09-29 00:00:00+00:00,14 days
WA,2004-08-11 00:00:00+00:00,2004,FM,Fire,WA-FISCHER WILDFIRE-08-11-2004,0,0,1,0,2004-08-11 00:00:00+00:00,2004-08-26 00:00:00+00:00,2006-11-07 00:00:00+00:00,15 days
AK,2004-08-10 00:00:00+00:00,2004,FM,Fire,AK-BOLGEN CREEK FIRE-08-10-2004,0,0,1,0,2004-07-14 00:00:00+00:00,2004-09-01 00:00:00+00:00,2008-01-03 00:00:00+00:00,49 days
CA,2004-08-08 00:00:00+00:00,2004,FM,Fire,CA-STEVENS FIRE-08--8-2004,0,0,1,0,2004-08-08 00:00:00+00:00,2004-08-14 00:00:00+00:00,2010-01-05 00:00:00+00:00,6 days
CA,2004-08-07 00:00:00+00:00,2004,FM,Fire,CA-CALAVERAS COMPLEX-08-07-2004,0,0,1,0,2004-08-06 00:00:00+00:00,2004-08-12 00:00:00+00:00,2009-09-29 00:00:00+00:00,6 days
OR,2004-08-04 00:00:00+00:00,2004,FM,Fire,OR-REDWOOD HIGHWAY WILDFIRE-08-04-2004,0,0,1,0,2004-08-04 00:00:00+00:00,2004-08-06 00:00:00+00:00,2006-09-05 00:00:00+00:00,2 days
WA,2004-07-30 00:00:00+00:00,2004,FM,Fire,ELK HEIGHTS FIRE,0,0,1,0,2004-07-30 00:00:00+00:00,2004-08-04 00:00:00+00:00,2006-09-06 00:00:00+00:00,5 days
WA,2004-07-30 00:00:00+00:00,2004,FM,Fire,DEEP HARBOR FIRE,0,0,1,0,2004-07-30 00:00:00+00:00,2004-08-05 00:00:00+00:00,2006-01-26 00:00:00+00:00,6 days
NV,2004-07-26 00:00:00+00:00,2004,FM,Fire,ROBBERS FIRE ,0,0,1,0,2004-07-26 00:00:00+00:00,2004-07-31 00:00:00+00:00,2006-01-10 00:00:00+00:00,5 days
CA,2004-07-21 00:00:00+00:00,2004,FM,Fire,CA-CROWN WILDFIRE-07-21-2004,0,0,1,0,2004-07-20 00:00:00+00:00,2004-07-23 00:00:00+00:00,2009-09-29 00:00:00+00:00,3 days
CA,2004-07-18 00:00:00+00:00,2004,FM,Fire,CA-FOOTHILL WILDFIRE-07-18-2004,0,0,1,0,2004-07-17 00:00:00+00:00,2004-07-23 00:00:00+00:00,2009-09-29 00:00:00+00:00,6 days
CA,2004-07-18 00:00:00+00:00,2004,FM,Fire,CA-MELTON WILDFIRE-07-18-2004,0,0,1,0,2004-07-17 00:00:00+00:00,2004-07-21 00:00:00+00:00,2009-09-29 00:00:00+00:00,4 days
CA,2004-07-14 00:00:00+00:00,2004,FM,Fire,CA-HOLLOW FIRE-07-14-2004,0,0,1,0,2004-07-14 00:00:00+00:00,2004-07-17 00:00:00+00:00,2009-08-27 00:00:00+00:00,3 days
NV,2004-07-14 00:00:00+00:00,2004,FM,Fire,WATERFALL FIRE ,0,0,1,0,2004-07-14 00:00:00+00:00,2004-07-27 00:00:00+00:00,2006-01-06 00:00:00+00:00,13 days
CA,2004-07-14 00:00:00+00:00,2004,FM,Fire,CA-LAKEVIEW-07-14-2004,0,0,1,0,2004-07-13 00:00:00+00:00,2004-07-17 00:00:00+00:00,2009-08-27 00:00:00+00:00,4 days
CA,2004-07-14 00:00:00+00:00,2004,FM,Fire,CA - MATAGUAY FIRE - 7-13-2004,0,0,1,0,2004-07-13 00:00:00+00:00,2004-07-18 00:00:00+00:00,2009-08-27 00:00:00+00:00,5 days
CA,2004-07-14 00:00:00+00:00,2004,FM,Fire,CA - PINE FIRE - 7-13-2004,0,0,1,0,2004-07-12 00:00:00+00:00,2004-07-21 00:00:00+00:00,2009-09-29 00:00:00+00:00,9 days
WA,2004-07-06 00:00:00+00:00,2004,FM,Fire,WA-BEEBE FIRE-07-04-2004,0,0,1,0,2004-07-05 00:00:00+00:00,2004-07-09 00:00:00+00:00,2006-09-05 00:00:00+00:00,4 days
